duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,label
0,1,20,9,641,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,1.0,0.0,4
0,1,20,9,10073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0.0,0.0,1.0,0.0,4
4175,2,44,9,147,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0.0,0.0,0.4,0.6,4
0,2,12,9,44,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,158,0.0,0.0,1.0,0.0,4
0,2,44,9,516,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,464,0.0,0.0,1.0,0.0,4
0,1,24,9,328,2375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,19,0.0,0.0,1.0,0.0,4
0,1,24,9,232,1197,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,0.0,0.0,1.0,0.0,4
0,2,12,9,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,197,0.0,0.0,1.0,0.0,4
0,1,24,9,395,215,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,19,0.0,0.0,1.0,0.0,4
0,1,24,9,212,9986,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,20,0.05,0.0,1.0,0.0,4
