duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,label
0,1,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,8,0.0,1.0,0.07,0.06,0
0,1,24,9,293,2823,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,0.0,0.0,1.0,0.0,4
0,1,20,9,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,1.0,0.0,4
0,1,57,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,16,1.0,0.0,0.05,0.06,0
0,1,24,9,210,28076,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,8,0.0,0.0,1.0,0.0,4
0,1,24,9,320,6396,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,14,0.0,0.0,1.0,0.0,4
0,2,12,9,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,132,0.0,0.0,1.0,0.0,4
0,2,12,9,46,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,147,0.0,0.0,0.99,0.03,4
0,1,24,9,214,181,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,7,0.14,0.0,1.0,0.0,4
0,1,24,9,284,1673,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,6,0.0,0.0,1.0,0.0,4
