duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,label
0,1,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,16,1.0,0.0,0.08,0.06,0
0,1,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,7,1.0,0.0,0.04,0.08,0
0,2,49,9,105,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0,4
0,1,24,9,194,383,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,12,0.0,0.0,1.0,0.0,4
0,1,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,2,1.0,0.0,0.01,0.06,0
0,1,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,6,0.0,1.0,0.04,0.07,0
28,1,19,9,1507,4152,0,0,0,30,0,1,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,1.0,0.0,4
0,1,24,9,285,283,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,1.0,0.0,4
0,2,12,9,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,27,0.0,0.0,1.0,0.0,4
0,1,35,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,9,1.0,0.0,0.03,0.05,0
