duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,label
0,0,15,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,0.0,1.0,0.0,0
0,1,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,1.0,1.0,0.0,4
0,1,49,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,1.0,1.0,0.0,1
1,1,54,9,696,363,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0.0,0.0,1.0,0.0,4
0,2,12,9,45,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,234,0.0,0.0,1.0,0.0,4
0,1,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,22,1.0,0.0,0.08,0.05,0
0,1,24,9,305,2507,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,7,0.0,0.0,1.0,0.0,4
0,1,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,1.0,1.0,0.0,1
0,2,12,9,44,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.0,0.0,1.0,0.0,4
0,1,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,4,1.0,0.0,0.02,0.06,0
